Construct	RawFACS	NormFACS	RawDNA	NormDNA	RawRNA	NormRNA	TxnLevl	YFP2mCherry	NonZeroBins	TotalFacsReads
YOR006C|Spar_15;326008;325941|WT	3;3;2;67;764;1686;1064;57;16;868;343	1.680;1.502;2.000;48.710;545.487;1001.976;610.906;34.103;10.901	868	44.605	343	35.289	0.791	0.747	9	2257.265
YDR277C|chrIV;1015860;1015702|WT	0;1082;133;204;1;0;0;5;0;458;0	0.000;541.574;133.000;148.310;0.714;0.000;0.000;2.991;0.000	458	23.536	0	0.000	0.000	0.189	5	826.589
YDR118W|chrIV;685851;685881|WT	0;0;0;0;26;5;0;0;0;17;0	0.000;0.000;0.000;0.000;18.564;2.971;0.000;0.000;0.000	17	0.874	0	0.000	0.000	0.657	2	21.535
YLL011W|Spar_12;115099;115137|WT	1;0;0;0;0;0;41;8;1;36;0	0.560;0.000;0.000;0.000;0.000;0.000;23.541;4.786;0.681	36	1.850	0	0.000	0.000	0.868	4	29.568
YGL172W|Spar_7;180687;180715|WT	0;1;0;17;29;104;97;4;0;50;7	0.000;0.501;0.000;12.359;20.706;61.806;55.694;2.393;0.000	50	2.569	7	0.720	0.280	0.749	6	153.459
YPL125W|chrXVI;313257;313387|313348,313381,AAG,CGACGA	1;0;0;0;2;628;597;33;1;430;0	0.560;0.000;0.000;0.000;1.428;373.215;342.774;19.744;0.681	430	22.097	0	0.000	0.000	0.805	6	738.402
YMR192W|chrXIII;647037;647117|647075,647105,AAG	4;2;728;2056;387;24;3;0;1;1681;400	2.240;1.001;728.000;1494.734;276.313;14.263;1.722;0.000;0.681	1681	86.384	400	41.153	0.476	0.426	8	2518.954
YJR144W|Spar_10;679422;679443|WT	0;1;1;0;0;9;154;29;26;35;21	0.000;0.501;1.000;0.000;0.000;5.349;88.421;17.351;17.714	35	1.799	21	2.161	1.201	0.885	6	130.336
YKR078W|chrXI;584911;584951|WT	0;0;16;41;27;0;0;1;0;62;48	0.000;0.000;16.000;29.807;19.278;0.000;0.000;0.598;0.000	62	3.186	48	4.938	1.550	0.475	4	65.683
YGL209W|Spar_7;96201;96253|WT	0;0;0;0;0;0;450;31;11;61;0	0.000;0.000;0.000;0.000;0.000;0.000;258.372;18.547;7.494	61	3.135	0	0.000	0.000	0.887	3	284.413
YML054C|Spar_13;167188;167128|167183,AAG	2;3;0;22;184;377;631;53;23;357;344	1.120;1.502;0.000;15.994;131.374;224.048;362.295;31.710;15.670	357	18.346	344	35.392	1.929	0.790	8	783.713
YCR002C|chrIII;118393;118348|WT	0;0;0;0;0;61;48;24;38;45;0	0.000;0.000;0.000;0.000;0.000;36.252;27.560;14.359;25.890	45	2.312	0	0.000	0.000	0.870	4	104.061
YPR153W|chrXVI;833654;833688|WT	0;0;7;0;37;0;74;6;2;36;0	0.000;0.000;7.000;0.000;26.418;0.000;42.488;3.590;1.363	36	1.850	0	0.000	0.000	0.754	5	80.859
YFR013W|chrVI;169874;169921|WT	1;8;157;35;11;0;0;0;0;153;143	0.560;4.004;157.000;25.445;7.854;0.000;0.000;0.000;0.000	153	7.862	143	14.712	1.871	0.319	5	194.863
YBL107W-A:0|Spar_3;126277;126362|126288,AAG	0;0;0;0;0;0;0;0;0;0;0	0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000	0	0.000	0	0.000	LowReads	TooLow	0	0
YLR289W|Spar_12;668869;668878|WT	0;0;0;0;0;0;0;0;0;0;0	0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000	0	0.000	0	0.000	LowReads	TooLow	0	0
YPL149W|chrXVI;271289;271309|271302,AAG	0;0;12;5;0;0;0;0;0;13;0	0.000;0.000;12.000;3.635;0.000;0.000;0.000;0.000;0.000	13	0.668	0	0.000	0.000	0.327	2	15.635
YPL279C|Spar_15;1014970;1015017|WT	80;116;0;0;3;1;0;0;0;142;0	44.798;58.062;0.000;0.000;2.142;0.594;0.000;0.000;0.000	142	7.297	0	0.000	0.000	0.078	4	105.596
YOR036W|Spar_15;388679;388706|WT	0;0;0;0;0;0;0;0;0;0;0	0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000	0	0.000	0	0.000	LowReads	TooLow	0	0
YML075C|chrXIII;118965;118898|WT	0;1;1;2;0;14;390;184;56;281;1608	0.000;0.501;1.000;1.454;0.000;8.320;223.922;110.086;38.153	281	14.440	1608	165.436	11.457	0.906	7	383.436
YOL048C|chrXV;241389;241310|WT	1;181;702;0;83;74;1;0;0;713;0	0.560;90.596;702.000;0.000;59.261;43.978;0.574;0.000;0.000	713	36.640	0	0.000	0.000	0.315	6	896.969
YKL167C|chrXI;134154;134134|WT	1;5;0;1;0;0;29;11;30;6;43	0.560;2.503;0.000;0.727;0.000;0.000;16.651;6.581;20.439	6	0.308	43	4.424	14.364	0.869	6	47.461
YPR054W|chrXVI;666255;666279|WT	0;0;0;2;3;0;0;0;0;13;0	0.000;0.000;0.000;1.454;2.142;0.000;0.000;0.000;0.000	13	0.668	0	0.000	0.000	0.567	2	3.596
YEL004W|Spar_5;148009;148042|WT	0;0;0;0;0;0;0;0;0;12;0	0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000	12	0.617	0	0.000	0.000	TooLow	0	0
YGL144C|chrVII;234533;234507|WT	0;0;1;0;33;89;3;0;0;78;102	0.000;0.000;1.000;0.000;23.562;52.892;1.722;0.000;0.000	78	4.008	102	10.494	2.618	0.699	4	79.176
YDR186C|chrIV;835546;835492|WT	4;3;10;348;869;488;1;0;17;596;0	2.240;1.502;10.000;253.000;620.455;290.014;0.574;0.000;11.582	596	30.627	0	0.000	0.000	0.622	8	1189.367
YHR210C|chrVIII;521889;521737|521783,AAG	6097;1288;41;0;2;4;4;4;0;2419;1	3414.202;644.683;41.000;0.000;1.428;2.377;2.297;2.393;0.000	2419	124.308	1	0.103	0.001	0.031	7	4108.38
YPL192C|chrXVI;183095;183056|WT	0;0;0;0;0;0;0;0;0;0;0	0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000	0	0.000	0	0.000	LowReads	TooLow	0	0
YKL099C|chrXI;256516;256472|WT	0;1;0;0;15;32;93;14;0;52;0	0.000;0.501;0.000;0.000;10.710;19.017;53.397;8.376;0.000	52	2.672	0	0.000	0.000	0.820	5	92.001
YDL233W|chrIV;36791;36796|WT	0;0;0;0;0;0;0;0;1;2;0	0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.681	2	0.103	0	0.000	0.000	1.000	1	0.681
YBR084W|Spar_2;383426;383470|WT	0;1;0;5;133;177;72;15;0;161;42	0.000;0.501;0.000;3.635;94.960;105.190;41.340;8.974;0.000	161	8.273	42	4.321	0.522	0.725	6	254.6
YAL014C|chrI;129050;129019|129038,129019,AAG,CGACGA	1;0;1;21;65;57;17;15;0;86;0	0.560;0.000;1.000;15.267;46.409;33.875;9.761;8.974;0.000	86	4.419	0	0.000	0.000	0.676	7	115.846
YKR019C|chrXI;478156;478063|WT	18;15;40;24;607;3261;7150;2401;875;5203;1233	10.080;7.508;40.000;17.448;433.390;1937.985;4105.245;1436.508;596.148	5203	267.373	1233	126.854	0.474	0.851	9	8584.312
YDR482C|chrIV;1420905;1420838|WT	1;0;10;188;102;0;0;0;0;119;0	0.560;0.000;10.000;136.678;72.827;0.000;0.000;0.000;0.000	119	6.115	0	0.000	0.000	0.504	4	220.065
YDR502C|chrIV;1454512;1454464|WT	0;0;0;0;0;18;131;82;116;90;57	0.000;0.000;0.000;0.000;0.000;10.697;75.215;49.060;79.032	90	4.625	57	5.864	1.268	0.937	4	214.004
YOR371C|Spar_15;971634;971588|WT	0;0;0;0;0;0;102;82;0;32;79	0.000;0.000;0.000;0.000;0.000;0.000;58.564;49.060;0.000	32	1.644	79	8.128	4.944	0.920	2	107.624
YOL064C|Spar_15;191586;191553|WT	0;1;0;0;48;37;0;0;15;40;0	0.000;0.501;0.000;0.000;34.271;21.989;0.000;0.000;10.220	40	2.056	0	0.000	0.000	0.721	4	66.981
YPR010C-A|Spar_16;597054;597004|WT	0;0;0;0;1;71;113;136;149;61;33	0.000;0.000;0.000;0.000;0.714;42.195;64.880;81.368;101.515	61	3.135	33	3.395	1.083	0.924	5	290.672
YIL159W|chrIX;41770;41824|WT	110;460;0;0;1;0;1;1;0;281;0	61.598;230.244;0.000;0.000;0.714;0.000;0.574;0.598;0.000	281	14.440	0	0.000	0.000	0.079	5	293.728
YMR165C|chrXIII;592794;592628|WT	0;0;0;0;0;0;0;0;0;72;0	0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000	72	3.700	0	0.000	0.000	TooLow	0	0
YJR007W|chrX;450923;451019|WT	12;6;274;2968;2918;361;6;5;2;3642;4134	6.720;3.003;274.000;2157.767;2083.416;214.539;3.445;2.991;1.363	3642	187.156	4134	425.317	2.273	0.539	9	4747.244
YNL090W|chrXIV;456401;456564|456529,456652,ATG	6430;1787;190;47;6;5;890;1;1;3042;93	3600.676;894.448;190.000;34.169;4.284;2.971;511.003;0.598;0.681	3042	156.323	93	9.568	0.061	0.125	9	5238.83
YJR139C|chrX;690588;690524|690572,690563,ATG	0;0;1;0;0;0;0;0;0;21;200	0.000;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000	21	1.079	200	20.577	19.070	0.290	1	1
YBR268W|chrII;741284;741298|WT	0;0;0;0;1;21;1;1;2;8;21	0.000;0.000;0.000;0.000;0.714;12.480;0.574;0.598;1.363	8	0.411	21	2.161	5.258	0.778	5	15.729
YEL033W|chrV;86159;86178|WT	51;46;0;0;0;0;0;0;0;35;30	28.559;23.024;0.000;0.000;0.000;0.000;0.000;0.000;0.000	35	1.799	30	3.086	1.715	0.047	2	51.583
YKL027W|chrXI;387504;387561|WT	0;0;0;0;0;239;258;31;50;140;135	0.000;0.000;0.000;0.000;0.000;142.036;148.133;18.547;34.066	140	7.194	135	13.889	1.931	0.835	4	342.782
YGL090W|Spar_7;341789;341856|341813,AAG	3033;644;0;29;3;2;1;1;0;1704;1451	1698.421;322.342;0.000;21.083;2.142;1.189;0.574;0.598;0.000	1704	87.565	1451	149.283	1.705	0.033	7	2046.349
YLR182W|Spar_12;483148;483180|WT	0;0;0;0;0;13;101;0;0;16;0	0.000;0.000;0.000;0.000;0.000;7.726;57.990;0.000;0.000	16	0.822	0	0.000	0.000	0.859	2	65.716
YGR203W|chrVII;905191;905236|WT	0;0;0;0;0;0;0;0;0;0;0	0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000	0	0.000	0	0.000	LowReads	TooLow	0	0
YMR256C|chrXIII;779156;779127|WT	0;0;0;0;0;0;0;16;22;7;6	0.000;0.000;0.000;0.000;0.000;0.000;0.000;9.573;14.989	7	0.360	6	0.617	1.714	0.988	2	24.562
YMR155W|chrXIII;568528;568550|568534,AAG	0;0;0;0;0;0;0;1;0;8;0	0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.598;0.000	8	0.411	0	0.000	0.000	0.971	1	0.598
YER008C|chrV;171884;171818|WT	2;3;0;0;0;463;102;245;53;182;7	1.120;1.502;0.000;0.000;0.000;275.157;58.564;146.582;36.110	182	9.353	7	0.720	0.077	0.829	6	519.035
YOR283W|Spar_15;787897;787950|WT	0;0;0;7;2;3;631;144;219;291;0	0.000;0.000;0.000;5.089;1.428;1.783;362.295;86.155;149.207	291	14.954	0	0.000	0.000	0.915	6	605.957
YGR248W|chrVII;985953;985971|WT	0;0;1;0;0;0;36;0;0;19;4	0.000;0.000;1.000;0.000;0.000;0.000;20.670;0.000;0.000	19	0.976	4	0.412	0.422	0.826	2	21.67
YDR475C|chrIV;1410192;1410094|WT	7;7;43;18;430;1396;8573;4150;1130;3096;1224	3.920;3.504;43.000;13.086;307.015;829.631;4922.275;2482.926;769.882	3096	159.098	1224	125.929	0.792	0.887	9	9375.239
YOL069W|chrXV;198879;198941|WT	273;787;13;1;3;0;0;2;1;450;76	152.875;393.917;13.000;0.727;2.142;0.000;0.000;1.197;0.681	450	23.125	76	7.819	0.338	0.081	7	564.539
YLR203C|chrXII;552016;551960|WT	2;0;0;65;472;757;191;31;7;305;0	1.120;0.000;0.000;47.256;337.002;449.879;109.665;18.547;4.769	305	15.673	0	0.000	0.000	0.709	7	968.238
YGL056C|chrVII;397716;397618|397641,397618,AAG	36;38;116;239;3296;12620;21296;5890;1627;11449;10850	20.159;19.020;116.000;173.756;2353.303;7499.962;12227.314;3523.961;1108.494	11449	588.343	10850	1116.278	1.897	0.827	9	27041.969
YOR250C|Spar_15;742921;742879|WT	0;0;0;0;0;0;0;0;9;19;0	0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;6.132	19	0.976	0	0.000	0.000	1.000	1	6.132
YPL228W|chrXVI;118235;118381|118311,118382,AAG,CGACGA	0;2;59;1;1;375;952;0;0;586;0	0.000;1.001;59.000;0.727;0.714;222.859;546.600;0.000;0.000	586	30.113	0	0.000	0.000	0.793	6	830.901
YDR082W|chrIV;610395;610440|WT	9;130;3;0;4;0;1;0;0;123;0	5.040;65.069;3.000;0.000;2.856;0.000;0.574;0.000;0.000	123	6.321	0	0.000	0.000	0.122	5	76.539
YDR143C|chrIV;744044;743874|743916,743892,AAG,CGACGA	103;1470;41;14;0;0;2;1;0;916;223	57.678;735.780;41.000;10.178;0.000;0.000;1.148;0.598;0.000	916	47.072	223	22.943	0.487	0.100	6	846.382
